PMID,Title,Authors,Citation,Journal/Book,Publication Year,Create Date,DOI,ST,Times cited
23926176,Escherichia coli sequence type 131 (ST131) subclone H30 as an emergent multidrug-resistant pathogen among US veterans,"Colpan A, Johnston B, Porter S, Clabots C, Anway R, Thao L, Kuskowski MA, Tchesnokova V, Sokurenko EV, Johnson JR; VICTORY (Veterans Influence of Clonal Types on Resistance: Year 2011) Investigators.",Clin Infect Dis. 2013 Nov;57(9):1256-65. doi: 10.1093/cid/cit503. Epub 2013 Aug 6.,Clin Infect Dis,2013,2013/08/09,10.1093/cid/cit503,"ST131, ST131",87
24867985,A new clone sweeps clean: the enigmatic emergence of Escherichia coli sequence type 131,"Banerjee R, Johnson JR.",Antimicrob Agents Chemother. 2014 Sep;58(9):4997-5004. doi: 10.1128/AAC.02824-14. Epub 2014 May 27.,Antimicrob Agents Chemother,2014,2014/05/29,10.1128/AAC.02824-14,ST131,82
27401575,"mcr-1.2, a New mcr Variant Carried on a Transferable Plasmid from a Colistin-Resistant KPC Carbapenemase-Producing Klebsiella pneumoniae Strain of Sequence Type 512","Di Pilato V, Arena F, Tascini C, Cannatelli A, Henrici De Angelis L, Fortunato S, Giani T, Menichetti F, Rossolini GM.",Antimicrob Agents Chemother. 2016 Aug 22;60(9):5612-5. doi: 10.1128/AAC.01075-16. Print 2016 Sep.,Antimicrob Agents Chemother,2016,2016/07/13,10.1128/AAC.01075-16,ST512,81
27118589,Sequential Acquisition of Virulence and Fluoroquinolone Resistance Has Shaped the Evolution of Escherichia coli ST131,"Ben Zakour NL, Alsheikh-Hussain AS, Ashcroft MM, Khanh Nhu NT, Roberts LW, Stanton-Cook M, Schembri MA, Beatson SA.",mBio. 2016 Apr 26;7(2):e00347-16. doi: 10.1128/mBio.00347-16.,mBio,2016,2016/04/28,10.1128/mBio.00347-16,ST131,74
20118165,Emergence of human pandemic O25:H4-ST131 CTX-M-15 extended-spectrum-beta-lactamase-producing Escherichia coli among companion animals,"Ewers C, Grobbel M, Stamm I, Kopp PA, Diehl I, Semmler T, Fruth A, Beutlich J, Guerra B, Wieler LH, Guenther S.",J Antimicrob Chemother. 2010 Apr;65(4):651-60. doi: 10.1093/jac/dkq004. Epub 2010 Jan 29.,J Antimicrob Chemother,2010,2010/02/02,10.1093/jac/dkq004,ST131,72
23466908,"Escherichia coli sequence type 131 is a dominant, antimicrobial-resistant clonal group associated with healthcare and elderly hosts","Banerjee R, Johnston B, Lohse C, Porter SB, Clabots C, Johnson JR.",Infect Control Hosp Epidemiol. 2013 Apr;34(4):361-9. doi: 10.1086/669865. Epub 2013 Feb 13.,Infect Control Hosp Epidemiol,2013,2013/03/08,10.1086/669865,ST131,59
22469129,"Comparison of Escherichia coli ST131 pulsotypes, by epidemiologic traits, 1967-2009","Johnson JR, Nicolas-Chanoine MH, DebRoy C, Castanheira M, Robicsek A, Hansen G, Weissman S, Urban C, Platell J, Trott D, Zhanel G, Clabots C, Johnston BD, Kuskowski MA; MASTER Investigators.",Emerg Infect Dis. 2012 Apr;18(4):598-607. doi: 10.3201/eid1804.111627.,Emerg Infect Dis,2012,2012/04/04,10.3201/eid1804.111627,ST131,58
22311928,"Virulence of Escherichia coli clinical isolates in a murine sepsis model in relation to sequence type ST131 status, fluoroquinolone resistance, and virulence genotype","Johnson JR, Porter SB, Zhanel G, Kuskowski MA, Denamur E.",Infect Immun. 2012 Apr;80(4):1554-62. doi: 10.1128/IAI.06388-11. Epub 2012 Feb 6.,Infect Immun,2012,2012/02/08,10.1128/IAI.06388-11,ST131,58
22354301,"Molecular epidemiological analysis of Escherichia coli sequence type ST131 (O25:H4) and blaCTX-M-15 among extended-spectrum-β-lactamase-producing E. coli from the United States, 2000 to 2009","Johnson JR, Urban C, Weissman SJ, Jorgensen JH, Lewis JS 2nd, Hansen G, Edelstein PH, Robicsek A, Cleary T, Adachi J, Paterson D, Quinn J, Hanson ND, Johnston BD, Clabots C, Kuskowski MA; AMERECUS Investigators.",Antimicrob Agents Chemother. 2012 May;56(5):2364-70. doi: 10.1128/AAC.05824-11. Epub 2012 Feb 21.,Antimicrob Agents Chemother,2012,2012/02/23,10.1128/AAC.05824-11,ST131,58
22511964,Characterization of an IncFII plasmid encoding NDM-1 from Escherichia coli ST131,"Bonnin RA, Poirel L, Carattoli A, Nordmann P.",PLoS One. 2012;7(4):e34752. doi: 10.1371/journal.pone.0034752. Epub 2012 Apr 12.,PLoS One,2012,2012/04/19,10.1371/journal.pone.0034752,ST131,57
18579721,European emergence of ciprofloxacin-resistant Escherichia coli clonal groups O25:H4-ST 131 and O15:K52:H1 causing community-acquired uncomplicated cystitis,"Cagnacci S, Gualco L, Debbia E, Schito GC, Marchese A.",J Clin Microbiol. 2008 Aug;46(8):2605-12. doi: 10.1128/JCM.00640-08. Epub 2008 Jun 25.,J Clin Microbiol,2008,2008/06/27,10.1128/JCM.00640-08,ST131,56
24080662,"Molecular epidemiology of Escherichia coli sequence type 131 and Its H30 and H30-Rx subclones among extended-spectrum-β-lactamase-positive and -negative E. coli clinical isolates from the Chicago Region, 2007 to 2010","Banerjee R, Robicsek A, Kuskowski MA, Porter S, Johnston BD, Sokurenko E, Tchesnokova V, Price LB, Johnson JR.",Antimicrob Agents Chemother. 2013 Dec;57(12):6385-8. doi: 10.1128/AAC.01604-13. Epub 2013 Sep 30.,Antimicrob Agents Chemother,2013,2013/10/02,10.1128/AAC.01604-13,ST131,54
21669946,"National survey of Escherichia coli causing extraintestinal infections reveals the spread of drug-resistant clonal groups O25b:H4-B2-ST131, O15:H1-D-ST393 and CGA-D-ST69 with high virulence gene content in Spain","Blanco J, Mora A, Mamani R, López C, Blanco M, Dahbi G, Herrera A, Blanco JE, Alonso MP, García-Garrote F, Chaves F, Orellana MÁ, Martínez-Martínez L, Calvo J, Prats G, Larrosa MN, González-López JJ, López-Cerero L, Rodríguez-Baño J, Pascual A.",J Antimicrob Chemother. 2011 Sep;66(9):2011-21. doi: 10.1093/jac/dkr235. Epub 2011 Jun 13.,J Antimicrob Chemother,2011,2011/06/15,10.1093/jac/dkr235,"ST131, ST393, ST69",52
24398338,CTX-M-15-D-ST648 Escherichia coli from companion animals and horses: another pandemic clone combining multiresistance and extraintestinal virulence?,"Ewers C, Bethe A, Stamm I, Grobbel M, Kopp PA, Guerra B, Stubbe M, Doi Y, Zong Z, Kola A, Schaufler K, Semmler T, Fruth A, Wieler LH, Guenther S.",J Antimicrob Chemother. 2014 May;69(5):1224-30. doi: 10.1093/jac/dkt516. Epub 2014 Jan 6.,J Antimicrob Chemother,2014,2014/01/09,10.1093/jac/dkt516,ST648,50
19351692,Molecular epidemiology of Escherichia coli producing extended-spectrum {beta}-lactamases in Lugo (Spain): dissemination of clone O25b:H4-ST131 producing CTX-M-15,"Blanco M, Alonso MP, Nicolas-Chanoine MH, Dahbi G, Mora A, Blanco JE, López C, Cortés P, Llagostera M, Leflon-Guibout V, Puentes B, Mamani R, Herrera A, Coira MA, García-Garrote F, Pita JM, Blanco J.",J Antimicrob Chemother. 2009 Jun;63(6):1135-41. doi: 10.1093/jac/dkp122. Epub 2009 Apr 7.,J Antimicrob Chemother,2009,2009/04/09,10.1093/jac/dkp122,ST131,49
21444703,Characteristics of NDM-1-producing Escherichia coli isolates that belong to the successful and virulent clone ST131,"Peirano G, Schreckenberger PC, Pitout JD.",Antimicrob Agents Chemother. 2011 Jun;55(6):2986-8. doi: 10.1128/AAC.01763-10. Epub 2011 Mar 28.,Antimicrob Agents Chemother,2011,2011/03/30,10.1128/AAC.01763-10,ST131,47
21990049,Transfer of an Escherichia coli ST131 multiresistance cassette has created a Klebsiella pneumoniae-specific plasmid associated with a major nosocomial outbreak,"Sandegren L, Linkevicius M, Lytsy B, Melhus Å, Andersson DI.",J Antimicrob Chemother. 2012 Jan;67(1):74-83. doi: 10.1093/jac/dkr405. Epub 2011 Oct 11.,J Antimicrob Chemother,2012,2011/10/13,10.1093/jac/dkr405,ST131,47
24501035,"Rapid and specific detection, molecular epidemiology, and experimental virulence of the O16 subgroup within Escherichia coli sequence type 131","Johnson JR, Clermont O, Johnston B, Clabots C, Tchesnokova V, Sokurenko E, Junka AF, Maczynska B, Denamur E.",J Clin Microbiol. 2014 May;52(5):1358-65. doi: 10.1128/JCM.03502-13. Epub 2014 Feb 5.,J Clin Microbiol,2014,2014/02/07,10.1128/JCM.03502-13,ST131,45
21862477,Molecular epidemiology of extraintestinal pathogenic Escherichia coli isolates from a regional cohort of elderly patients highlights the prevalence of ST131 strains with increased antimicrobial resistance in both community and hospital care settings,"Croxall G, Hale J, Weston V, Manning G, Cheetham P, Achtman M, McNally A.",J Antimicrob Chemother. 2011 Nov;66(11):2501-8. doi: 10.1093/jac/dkr349. Epub 2011 Aug 22.,J Antimicrob Chemother,2011,2011/08/25,10.1093/jac/dkr349,ST131,45
21966500,Complete sequencing of the bla(NDM-1)-positive IncA/C plasmid from Escherichia coli ST38 isolate suggests a possible origin from plant pathogens,"Sekizuka T, Matsui M, Yamane K, Takeuchi F, Ohnishi M, Hishinuma A, Arakawa Y, Kuroda M.",PLoS One. 2011;6(9):e25334. doi: 10.1371/journal.pone.0025334. Epub 2011 Sep 23.,PLoS One,2011,2011/10/04,10.1371/journal.pone.0025334,ST38,44
25687644,"CTX-M-27- and CTX-M-14-producing, ciprofloxacin-resistant Escherichia coli of the H30 subclonal group within ST131 drive a Japanese regional ESBL epidemic","Matsumura Y, Johnson JR, Yamamoto M, Nagao M, Tanaka M, Takakura S, Ichiyama S; Kyoto–Shiga Clinical Microbiology Study Group; Kyoto-Shiga Clinical Microbiology Study Group.",J Antimicrob Chemother. 2015;70(6):1639-49. doi: 10.1093/jac/dkv017. Epub 2015 Feb 16.,J Antimicrob Chemother,2015,2015/02/18,10.1093/jac/dkv017,ST131,43
27550364,Emergence of NDM-5- and MCR-1-Producing Escherichia coli Clones ST648 and ST156 from a Single Muscovy Duck (Cairina moschata),"Yang RS, Feng Y, Lv XY, Duan JH, Chen J, Fang LX, Xia J, Liao XP, Sun J, Liu YH.",Antimicrob Agents Chemother. 2016 Oct 21;60(11):6899-6902. doi: 10.1128/AAC.01365-16. Print 2016 Nov.,Antimicrob Agents Chemother,2016,2016/08/24,10.1128/AAC.01365-16,"ST648, ST156",43
19583828,Extraintestinal pathogenic Escherichia coli O1:K1:H7/NM from human and avian origin: detection of clonal groups B2 ST95 and D ST59 with different host distribution,"Mora A, López C, Dabhi G, Blanco M, Blanco JE, Alonso MP, Herrera A, Mamani R, Bonacorsi S, Moulin-Schouleur M, Blanco J.",BMC Microbiol. 2009 Jul 7;9:132. doi: 10.1186/1471-2180-9-132.,BMC Microbiol,2009,2009/07/09,10.1186/1471-2180-9-132,"ST95, ST59",42
25126841,The complete genome sequence of Escherichia coli EC958: a high quality reference sequence for the globally disseminated multidrug resistant E. coli O25b:H4-ST131 clone,"Forde BM, Ben Zakour NL, Stanton-Cook M, Phan MD, Totsika M, Peters KM, Chan KG, Schembri MA, Upton M, Beatson SA.",PLoS One. 2014 Aug 15;9(8):e104400. doi: 10.1371/journal.pone.0104400. eCollection 2014.,PLoS One,2014,2014/08/16,10.1371/journal.pone.0104400,ST131,42
25246393,blaNDM-5 carried by an IncX3 plasmid in Escherichia coli sequence type 167,"Yang P, Xie Y, Feng P, Zong Z.",Antimicrob Agents Chemother. 2014 Dec;58(12):7548-52. doi: 10.1128/AAC.03911-14. Epub 2014 Sep 22.,Antimicrob Agents Chemother,2014,2014/09/24,10.1128/AAC.03911-14,ST167,41
22123694,"Bacteremia caused by extended-spectrum-β-lactamase-producing Escherichia coli sequence type ST131 and non-ST131 clones: comparison of demographic data, clinical features, and mortality","Chung HC, Lai CH, Lin JN, Huang CK, Liang SH, Chen WF, Shih YC, Lin HH, Wang JL.",Antimicrob Agents Chemother. 2012 Feb;56(2):618-22. doi: 10.1128/AAC.05753-11. Epub 2011 Nov 28.,Antimicrob Agents Chemother,2012,2011/11/30,10.1128/AAC.05753-11,"ST131, ST131",40
24752265,Characteristics of Escherichia coli sequence type 131 isolates that produce extended-spectrum β-lactamases: global distribution of the H30-Rx sublineage,"Peirano G, van der Bij AK, Freeman JL, Poirel L, Nordmann P, Costello M, Tchesnokova VL, Pitout JD.",Antimicrob Agents Chemother. 2014 Jul;58(7):3762-7. doi: 10.1128/AAC.02428-14. Epub 2014 Apr 21.,Antimicrob Agents Chemother,2014,2014/04/23,10.1128/AAC.02428-14,ST131,39
27767006,Global Escherichia coli Sequence Type 131 Clade with bla(CTX-M-27) Gene,"Matsumura Y, Pitout JD, Gomi R, Matsuda T, Noguchi T, Yamamoto M, Peirano G, DeVinney R, Bradford PA, Motyl MR, Tanaka M, Nagao M, Takakura S, Ichiyama S.",Emerg Infect Dis. 2016 Nov;22(11):1900-1907. doi: 10.3201/eid2211.160519.,Emerg Infect Dis,2016,2016/10/22,10.3201/eid2211.160519,ST131,39
21658865,Multidrug-resistant extraintestinal pathogenic Escherichia coli of sequence type ST131 in animals and foods,"Platell JL, Johnson JR, Cobbold RN, Trott DJ.",Vet Microbiol. 2011 Nov 21;153(1-2):99-108. doi: 10.1016/j.vetmic.2011.05.007. Epub 2011 May 13.,Vet Microbiol,2011,2011/06/11,10.1016/j.vetmic.2011.05.007,ST131,39
23926164,"Four main virotypes among extended-spectrum-β-lactamase-producing isolates of Escherichia coli O25b:H4-B2-ST131: bacterial, epidemiological, and clinical characteristics","Blanco J, Mora A, Mamani R, López C, Blanco M, Dahbi G, Herrera A, Marzoa J, Fernández V, de la Cruz F, Martínez-Martínez L, Alonso MP, Nicolas-Chanoine MH, Johnson JR, Johnston B, López-Cerero L, Pascual A, Rodríguez-Baño J; Spanish Group for Nosocomial Infections (GEIH).",J Clin Microbiol. 2013 Oct;51(10):3358-67. doi: 10.1128/JCM.01555-13. Epub 2013 Aug 7.,J Clin Microbiol,2013,2013/08/09,10.1128/JCM.01555-13,ST131,37
21646486,Commonality among fluoroquinolone-resistant sequence type ST131 extraintestinal Escherichia coli isolates from humans and companion animals in Australia,"Platell JL, Cobbold RN, Johnson JR, Heisig A, Heisig P, Clabots C, Kuskowski MA, Trott DJ.",Antimicrob Agents Chemother. 2011 Aug;55(8):3782-7. doi: 10.1128/AAC.00306-11. Epub 2011 Jun 6.,Antimicrob Agents Chemother,2011,2011/06/08,10.1128/AAC.00306-11,ST131,37
27503650,First Report of the Globally Disseminated IncX4 Plasmid Carrying the mcr-1 Gene in a Colistin-Resistant Escherichia coli Sequence Type 101 Isolate from a Human Infection in Brazil,"Fernandes MR, McCulloch JA, Vianello MA, Moura Q, Pérez-Chaparro PJ, Esposito F, Sartori L, Dropa M, Matté MH, Lira DP, Mamizuka EM, Lincopan N.",Antimicrob Agents Chemother. 2016 Sep 23;60(10):6415-7. doi: 10.1128/AAC.01325-16. Print 2016 Oct.,Antimicrob Agents Chemother,2016,2016/08/10,10.1128/AAC.01325-16,ST101,37
22419681,Escherichia coli bloodstream infection after transrectal ultrasound-guided prostate biopsy: implications of fluoroquinolone-resistant sequence type 131 as a major causative pathogen,"Williamson DA, Roberts SA, Paterson DL, Sidjabat H, Silvey A, Masters J, Rice M, Freeman JT.",Clin Infect Dis. 2012 May;54(10):1406-12. doi: 10.1093/cid/cis194. Epub 2012 Mar 14.,Clin Infect Dis,2012,2012/03/16,10.1093/cid/cis194,ST131,37
19710261,Sharing of Escherichia coli sequence type ST131 and other multidrug-resistant and Urovirulent E. coli strains among dogs and cats within a household,"Johnson JR, Miller S, Johnston B, Clabots C, Debroy C.",J Clin Microbiol. 2009 Nov;47(11):3721-5. doi: 10.1128/JCM.01581-09. Epub 2009 Aug 26.,J Clin Microbiol,2009,2009/08/28,10.1128/JCM.01581-09,ST131,36
30154256,Escherichia coli ST131-H22 as a Foodborne Uropathogen,"Liu CM, Stegger M, Aziz M, Johnson TJ, Waits K, Nordstrom L, Gauld L, Weaver B, Rolland D, Statham S, Horwinski J, Sariya S, Davis GS, Sokurenko E, Keim P, Johnson JR, Price LB.",mBio. 2018 Aug 28;9(4):e00470-18. doi: 10.1128/mBio.00470-18.,mBio,2018,2018/08/30,10.1128/mBio.00470-18,ST131,36
23554186,"Prevalence and characteristics of the epidemic multiresistant Escherichia coli ST131 clonal group among extended-spectrum beta-lactamase-producing E. coli isolates in Copenhagen, Denmark","Olesen B, Hansen DS, Nilsson F, Frimodt-Møller J, Leihof RF, Struve C, Scheutz F, Johnston B, Krogfelt KA, Johnson JR.",J Clin Microbiol. 2013 Jun;51(6):1779-85. doi: 10.1128/JCM.00346-13. Epub 2013 Apr 3.,J Clin Microbiol,2013,2013/04/05,10.1128/JCM.00346-13,ST131,36
24395232,Complete sequence of a KPC-producing IncN multidrug-resistant plasmid from an epidemic Escherichia coli sequence type 131 strain in China,"Chen L, Hu H, Chavda KD, Zhao S, Liu R, Liang H, Zhang W, Wang X, Jacobs MR, Bonomo RA, Kreiswirth BN.",Antimicrob Agents Chemother. 2014;58(4):2422-5. doi: 10.1128/AAC.02587-13. Epub 2014 Jan 6.,Antimicrob Agents Chemother,2014,2014/01/08,10.1128/AAC.02587-13,ST131,35
25596031,Escherichia coli ST131: The quintessential example of an international multiresistant high-risk clone,"Mathers AJ, Peirano G, Pitout JD.",Adv Appl Microbiol. 2015;90:109-54. doi: 10.1016/bs.aambs.2014.09.002. Epub 2014 Nov 13.,Adv Appl Microbiol,2015,2015/01/18,10.1016/bs.aambs.2014.09.002,ST131,35
25340464,Global incidence of carbapenemase-producing Escherichia coli ST131,"Peirano G, Bradford PA, Kazmierczak KM, Badal RE, Hackel M, Hoban DJ, Pitout JD.",Emerg Infect Dis. 2014 Nov;20(11):1928-31. doi: 10.3201/eid2011.141388.,Emerg Infect Dis,2014,2014/10/24,10.3201/eid2011.141388,ST131,35
27208899,Circulation of clonal populations of fluoroquinolone-resistant CTX-M-15-producing Escherichia coli ST410 in humans and animals in Germany,"Falgenhauer L, Imirzalioglu C, Ghosh H, Gwozdzinski K, Schmiedel J, Gentil K, Bauerfeind R, Kämpfer P, Seifert H, Michael GB, Schwarz S, Pfeifer Y, Werner G, Pietsch M, Roesler U, Guerra B, Fischer J, Sharp H, Käsbohrer A, Goesmann A, Hille K, Kreienbrock L, Chakraborty T.",Int J Antimicrob Agents. 2016 Jun;47(6):457-65. doi: 10.1016/j.ijantimicag.2016.03.019. Epub 2016 May 12.,Int J Antimicrob Agents,2016,2016/05/23,10.1016/j.ijantimicag.2016.03.019,ST410,35
21595794,"Multiple ST clonal complexes, with a predominance of ST131, of Escherichia coli harbouring blaCTX-M-15 in a tertiary hospital in Tanzania","Mshana SE, Imirzalioglu C, Hain T, Domann E, Lyamuya EF, Chakraborty T.",Clin Microbiol Infect. 2011 Aug;17(8):1279-82. doi: 10.1111/j.1469-0691.2011.03518.x. Epub 2011 May 20.,Clin Microbiol Infect,2011,2011/05/21,10.1111/j.1469-0691.2011.03518.x,ST131,34
19917759,Escherichia coli sequence type ST131 as an emerging fluoroquinolone-resistant uropathogen among renal transplant recipients,"Johnson JR, Johnston B, Clabots C, Kuskowski MA, Pendyala S, Debroy C, Nowicki B, Rice J.",Antimicrob Agents Chemother. 2010 Jan;54(1):546-50. doi: 10.1128/AAC.01089-09. Epub 2009 Nov 16.,Antimicrob Agents Chemother,2010,2009/11/18,10.1128/AAC.01089-09,ST131,34
25246402,"Genotypic and phenotypic profiles of Escherichia coli isolates belonging to clinical sequence type 131 (ST131), clinical non-ST131, and fecal non-ST131 lineages from India","Hussain A, Ranjan A, Nandanwar N, Babbar A, Jadhav S, Ahmed N.",Antimicrob Agents Chemother. 2014 Dec;58(12):7240-9. doi: 10.1128/AAC.03320-14. Epub 2014 Sep 22.,Antimicrob Agents Chemother,2014,2014/09/24,10.1128/AAC.03320-14,"ST131, ST131, ST131, ST131",33
19741070,Transmission of an extended-spectrum-beta-lactamase-producing Escherichia coli (sequence type ST131) strain between a father and daughter resulting in septic shock and Emphysematous pyelonephritis,"Ender PT, Gajanana D, Johnston B, Clabots C, Tamarkin FJ, Johnson JR.",J Clin Microbiol. 2009 Nov;47(11):3780-2. doi: 10.1128/JCM.01361-09. Epub 2009 Sep 9.,J Clin Microbiol,2009,2009/09/11,10.1128/JCM.01361-09,ST131,32
23045357,Multiresistant uropathogenic Escherichia coli from a region in India where urinary tract infections are endemic: genotypic and phenotypic characteristics of sequence type 131 isolates of the CTX-M-15 extended-spectrum-β-lactamase-producing lineage,"Hussain A, Ewers C, Nandanwar N, Guenther S, Jadhav S, Wieler LH, Ahmed N.",Antimicrob Agents Chemother. 2012 Dec;56(12):6358-65. doi: 10.1128/AAC.01099-12. Epub 2012 Oct 8.,Antimicrob Agents Chemother,2012,2012/10/10,10.1128/AAC.01099-12,ST131,32
24323475,Emergence of Escherichia coli sequence type 131 isolates producing KPC-2 carbapenemase in China,"Cai JC, Zhang R, Hu YY, Zhou HW, Chen GX.",Antimicrob Agents Chemother. 2014;58(2):1146-52. doi: 10.1128/AAC.00912-13. Epub 2013 Dec 9.,Antimicrob Agents Chemother,2014,2013/12/11,10.1128/AAC.00912-13,ST131,32
30021879,Escherichia coli Sequence Type 410 Is Causing New International High-Risk Clones,"Roer L, Overballe-Petersen S, Hansen F, Schønning K, Wang M, Røder BL, Hansen DS, Justesen US, Andersen LP, Fulgsang-Damgaard D, Hopkins KL, Woodford N, Falgenhauer L, Chakraborty T, Samuelsen Ø, Sjöström K, Johannesen TB, Ng K, Nielsen J, Ethelberg S, Stegger M, Hammerum AM, Hasman H.",mSphere. 2018 Jul 18;3(4):e00337-18. doi: 10.1128/mSphere.00337-18.,mSphere,2018,2018/07/20,10.1128/mSphere.00337-18,ST410,32
22843833,"Emergence and spread of B2-ST131-O25b, B2-ST131-O16 and D-ST405 clonal groups among extended-spectrum-β-lactamase-producing Escherichia coli in Japan","Matsumura Y, Yamamoto M, Nagao M, Hotta G, Matsushima A, Ito Y, Takakura S, Ichiyama S; Kyoto-Shiga Clinical Microbiology Study Group.",J Antimicrob Chemother. 2012 Nov;67(11):2612-20. doi: 10.1093/jac/dks278. Epub 2012 Jul 26.,J Antimicrob Chemother,2012,2012/07/31,10.1093/jac/dks278,"ST131, ST131, ST405",31
20359869,Molecular characteristics of extended-spectrum beta-lactamase-producing Escherichia coli from the Chicago area: high prevalence of ST131 producing CTX-M-15 in community hospitals,"Peirano G, Costello M, Pitout JD.",Int J Antimicrob Agents. 2010 Jul;36(1):19-23. doi: 10.1016/j.ijantimicag.2010.02.016. Epub 2010 Mar 31.,Int J Antimicrob Agents,2010,2010/04/03,10.1016/j.ijantimicag.2010.02.016,ST131,31
25987621,Intensity and Mechanisms of Fluoroquinolone Resistance within the H30 and H30Rx Subclones of Escherichia coli Sequence Type 131 Compared with Other Fluoroquinolone-Resistant E. coli,"Johnson JR, Johnston B, Kuskowski MA, Sokurenko EV, Tchesnokova V.",Antimicrob Agents Chemother. 2015 Aug;59(8):4471-80. doi: 10.1128/AAC.00673-15. Epub 2015 May 18.,Antimicrob Agents Chemother,2015,2015/05/20,10.1128/AAC.00673-15,ST131,30
